"Id","Entity__c","Entity_Name__c","Type__c","Executed_Product_Name__c"
"a0lw0000008sfcsAAA","","0012000000xDOi0AAG","Lumpsum","IDFC Money Manager Treasury A"
"a0lw0000008sfctAAA","","0012000000xDOi0AAG","Lumpsum","Pramerica Short Term Income"
"a0lw0000008sfcuAAA","","0012000000xDOi0AAG","Lumpsum","Axis Triple Advantage"
"a0lw0000008sfcvAAA","","0012000000xDOi0AAG","Lumpsum","Kotak Select Focus Fund "
"a0lw0000008sfcwAAA","","0012000000xDOi0AAG","Lumpsum","Kotak Select Focus Fund "
"a0lw0000008sfcxAAA","","0012000000xDOi0AAG","Lumpsum","HDFC Top 200"
"a0lw0000008sfcyAAA","","0012000000xDOi0AAG","Lumpsum","IDFC MIP"
"a0lw0000008sfczAAA","","0012000000xDOi0AAG","Lumpsum","IDFC Premier Equity"
"a0lw0000008shhkAAA","","00120000012CrsLAAS","Lumpsum","Birla Sun Life Short Term"
"a0lw0000008shhlAAA","","00120000012CrsLAAS","Lumpsum","ICICI Prudential Short Term"
"a0lw0000008shhmAAA","","00120000012CrsLAAS","Lumpsum","ICICI Dynamic Plan"
"a0lw0000008shhnAAA","","00120000012CrsLAAS","Lumpsum","Axis Equity Fund"
"a0lw0000008shhoAAA","","00120000012CrsLAAS","Lumpsum","ICICI Prudential Short Term"
"a0lw0000008shhpAAA","","00120000012CrsLAAS","SIP","Birla Sun Life Savings Fund"
"a0lw0000008shhqAAA","","00120000012CrsLAAS","SIP","Axis Treasury Advantage Fund"
"a0lw0000008shhrAAA","","00120000012CrsLAAS","SIP","ICICI Prudential Regular Gold Savings Fund"
"a0lw0000008shhsAAA","","00120000012CrsLAAS","SIP","Birla Sun Life Dynamic Bond Fund"
"a0lw0000008shhtAAA","","00120000012CrsLAAS","SIP","Reliance Equity Opportunities Fund"
"a0lw0000008shhuAAA","","00120000012CrsLAAS","SIP","IDFC Premier Equity Fund - Plan A"
"a0lw0000008shhvAAA","","00120000012CrsLAAS","SIP","ICICI Dynamic Plan"
"a0lw0000008shhwAAA","","00120000012CrsLAAS","SIP","HDFC Top 200 Fund"
"a0lw0000008shhxAAA","","00120000012CrsLAAS","SIP","Axis Equity Fund"
"a0lw0000008shhyAAA","","00120000012CrsLAAS","SIP","Axis Equity Fund"
"a0lw0000008shhzAAA","","00120000012CrsLAAS","SIP","HDFC Top 200 Fund"
"a0lw0000008shi0AAA","","00120000012CrsLAAS","SIP","ICICI Dynamic Plan"
"a0lw0000008shi1AAA","","00120000012CrsLAAS","SIP","IDFC Premier Equity Fund - Plan A"
