"ID","ENTITY_NAME__C","EXECUTED_PRODUCT_NAME__C","APPROVE_ACTION_PLAN__C","EXECUTION_TRACKER_PRODUCT__C"
"a0lw0000008semlAAA","00120000012CbhUAAS","Reliance equity opportunities fund","a31w00000001xD2AAI",""
"a0lw0000008semmAAA","00120000012CbhUAAS","BSL Frontline Equity","a31w00000001xD1AAI",""
"a0lw0000008semnAAA","00120000012CbhUAAS","Axis Triple Advantage","a31w00000001xD0AAI",""
"a0lw0000008semoAAA","00120000012CbhUAAS","Pramerica Short Term Income","a31w00000001xCzAAI",""
"a0lw0000008sempAAA","00120000012CbhUAAS","Reliance equity opportunities fund","a31w00000001xCyAAI",""
"a0lw0000008semqAAA","00120000012CbhUAAS","BSL Frontline Equity","a31w00000001xCxAAI",""
"a0lw0000008semrAAA","00120000012CbhUAAS","Axis Triple Advantage","a31w00000001xCwAAI",""
"a0lw0000008semsAAA","00120000012CbhUAAS","Pramerica Short Term Income","a31w00000001xCvAAI",""
"a0lw0000008semtAAA","00120000012CbhUAAS","BSL Dividend Yield Plus","a31w00000001xCuAAI",""
"a0lw0000008semuAAA","00120000012CbhUAAS","Reliance equity opportunities fund","a31w00000001xCtAAI",""
"a0lw0000008semvAAA","00120000012CbhUAAS","Pramerica Equity","a31w00000001xCsAAI",""
"a0lw0000008semwAAA","00120000012CbhUAAS","BSL Frontline Equity","a31w00000001xCrAAI",""
"a0lw0000008semxAAA","00120000012CbhUAAS","Axis Triple Advantage","a31w00000001xCqAAI",""
"a0lw0000008semyAAA","00120000012CbhUAAS","Pramerica Short Term Income","a31w00000001xCpAAI",""
"a0lw0000008sen0AAA","00120000012CbhUAAS","Reliance equity opportunities fund","a31w00000001xCnAAI",""
"a0lw0000008sen1AAA","00120000012CbhUAAS","BSL Frontline Equity","a31w00000001xCmAAI",""
"a0l200000061G1gAAE","0012000000iWCcrAAG","SBI - Blue Chip Fund (D) [Folio:6299983]","a31200000001GnrAAE",""
"a0l200000061G1hAAE","0012000000iWCcrAAG","Axis - Triple Advantage Fund (G) [Folio:9048051712]","a31200000001GnqAAE",""
"a0l200000061G1iAAE","0012000000iWCcrAAG","HDFC - Top 200 Fund - (G) [Folio:6036453/56]","a31200000001GnpAAE",""
"a0l200000061G1jAAE","0012000000iWCcrAAG","HDFC - Top 200 Fund - (G) [Folio:6036453/56]","a31200000001GnpAAE",""
"a0l200000061G1kAAE","0012000000iWCcrAAG","DSP BlackRock - Equity Fund Reg (G) [Folio:2586395/39]","a31200000001GnnAAE",""
"a0l200000061G1nAAE","0012000000iWCcrAAG","Birla SL - FTP Sr GG Reg (G) [Folio:1015179833]","a31200000001GnlAAE",""
"a0l200000061G1oAAE","0012000000iWCcrAAG","HDFC - Top 200 Fund - (G) [Folio:6077190/65]","a31200000001GnjAAE",""
"a0l200000061G1qAAE","0012000000iWCcrAAG","HDFC - Top 200 Fund - (G) [Folio:7640557/11]","a31200000001GnfAAE",""
