"ID","NAME","RECORDTYPEID","PRODUCT_MANUFACTURER__C","IS_ACTIVE__C","PRODUCTTYPE__C","PRODUCT_NAME__C"
"a342000000005QXAAY","PRD-007653","01220000000638OAAQ","a33200000000BbCAAU","true","Mutual Fund","DSP BlackRock Small and Mid Cap Fund"
"a342000000005QYAAY","PRD-007654","01220000000638OAAQ","a33200000000BbCAAU","true","Mutual Fund","DSP BlackRock Tax Saver Fund"
"a342000000005QZAAY","PRD-007655","01220000000638OAAQ","a33200000000BbCAAU","true","Mutual Fund","DSP BlackRock Top 100 Equity Fund"
"a342000000005QRAAY","PRD-007647","01220000000638OAAQ","a33200000000BbCAAU","true","Mutual Fund","DSP BlackRock Equity Fund - Regular Plan"
"a342000000005QSAAY","PRD-007648","01220000000638OAAQ","a33200000000BbCAAU","true","Mutual Fund","DSP BlackRock Income Opportunities Fund"
"a342000000005QTAAY","PRD-007649","01220000000638OAAQ","a33200000000BbCAAU","true","Mutual Fund","DSP BlackRock Micro Cap Fund"
"a342000000005QUAAY","PRD-007650","01220000000638OAAQ","a33200000000BbCAAU","true","Mutual Fund","DSP BlackRock Money Manager Fund"
"a342000000005QVAAY","PRD-007651","01220000000638OAAQ","a33200000000BbCAAU","true","Mutual Fund","DSP BlackRock Opportunities Fund"
"a342000000005QWAAY","PRD-007652","01220000000638OAAQ","a33200000000BbCAAU","true","Mutual Fund","DSP BlackRock Short Term Fund"
"a342000000005QaAAI","PRD-007656","01220000000638OAAQ","a33200000000BbCAAU","true","Mutual Fund","DSP Short Term Fund"
"a342000000005QbAAI","PRD-007657","01220000000638OAAQ","a33200000000BbCAAU","true","Mutual Fund","DSP Equity Fund"
"a342000000005QcAAI","PRD-007658","01220000000638OAAQ","a33200000000BbCAAU","true","Mutual Fund","DSP Money Manager Fund - Reg"
"a342000000005QdAAI","PRD-007659","01220000000638OAAQ","a33200000000BbCAAU","true","Mutual Fund","DSP BlackRock Balanced"
"a342000000005QeAAI","PRD-007660","01220000000638OAAQ","a33200000000BbCAAU","true","Mutual Fund","DSP BlackRock Bond"
"a342000000005QfAAI","PRD-007661","01220000000638OAAQ","a33200000000BbCAAU","true","Mutual Fund","DSP BlackRock Equity"
"a342000000005QgAAI","PRD-007662","01220000000638OAAQ","a33200000000BbCAAU","true","Mutual Fund","DSP BlackRock Micro Cap Reg"
"a342000000005QhAAI","PRD-007663","01220000000638OAAQ","a33200000000BbCAAU","true","Mutual Fund","DSP BlackRock Opportunities"
"a342000000005QiAAI","PRD-007664","01220000000638OAAQ","a33200000000BbCAAU","true","Mutual Fund","DSP BlackRock Small and Mid Cap Reg"
"a342000000005QjAAI","PRD-007665","01220000000638OAAQ","a33200000000BbCAAU","true","Mutual Fund","DSP BlackRock T.I.G.E.R. Reg"
"a342000000005PwAAI","PRD-007616","01220000000638OAAQ","a33200000000BbFAAU","true","Mutual Fund","Axis Equity Fund"
"a342000000005PxAAI","PRD-007617","01220000000638OAAQ","a33200000000BbFAAU","true","Mutual Fund","Axis Gold ETF Growth"
"a342000000005PyAAI","PRD-007618","01220000000638OAAQ","a33200000000BbFAAU","true","Mutual Fund","Axis Money Manager Fund"
"a342000000005PzAAI","PRD-007619","01220000000638OAAQ","a33200000000BbFAAU","true","Mutual Fund","Axis Treasury Advantage Fund"
"a342000000005Q0AAI","PRD-007620","01220000000638OAAQ","a33200000000BbFAAU","true","Mutual Fund","Axis Triple Advanatage Fund"
"a342000000005Q1AAI","PRD-007621","01220000000638OAAQ","a33200000000BbFAAU","true","Mutual Fund","Axis Triple Advantage Fund - Growth"
"a342000000005Q2AAI","PRD-007622","01220000000638OAAQ","a33200000000BbFAAU","true","Mutual Fund","Axis Treasury Advantage Fund - Growth"
"a342000000005Q3AAI","PRD-007623","01220000000638OAAQ","a33200000000BbFAAU","true","Mutual Fund","Axis Triple Advantage Fund"
"a342000000005Q4AAI","PRD-007624","01220000000638OAAQ","a33200000000BbFAAU","true","Mutual Fund","Axis Treasury Advantage"
"a342000000005RcAAI","PRD-007720","01220000000638OAAQ","a33200000000BbIAAU","true","Mutual Fund","ICICI Prudential Tax Plan"
"a342000000005RdAAI","PRD-007721","01220000000638OAAQ","a33200000000BbGAAU","true","Mutual Fund","IDFC Dynamic Bond Fund"
"a342000000005ReAAI","PRD-007722","01220000000638OAAQ","a33200000000BbGAAU","true","Mutual Fund","IDFC Money Manager Fund - Treasury Plan A"
"a342000000005RfAAI","PRD-007723","01220000000638OAAQ","a33200000000BbGAAU","true","Mutual Fund","IDFC Premier Equity Fund - Plan A"
"a342000000005RgAAI","PRD-007724","01220000000638OAAQ","a33200000000BbGAAU","true","Mutual Fund","IDFC Sterling Equity Fund"
"a342000000005RhAAI","PRD-007725","01220000000638OAAQ","a33200000000BbGAAU","true","Mutual Fund","IDFC Sterling Equity"
"a342000000005RiAAI","PRD-007726","01220000000638OAAQ","a33200000000BbGAAU","true","Mutual Fund","IDFC Premier Equity"
"a342000000005RjAAI","PRD-007727","01220000000638OAAQ","a33200000000BbGAAU","true","Mutual Fund","IDFC Money Manager"
"a342000000005RkAAI","PRD-007728","01220000000638OAAQ","a33200000000BbGAAU","true","Mutual Fund","IDFC Imperial Equity"
"a342000000005RlAAI","PRD-007729","01220000000638OAAQ","a33200000000BbGAAU","true","Mutual Fund","IDFC Premier Equity Plan A"
